Race_Distance,Level,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Half Marathon,3,8,Foundation Run 6,Tempo Run 6,Foundation Run 9,Foundation Run 6,Short Interval Run 7,Recovery Run 6,Long Run with Speed Play 2
Half Marathon,3,8,,Foundation Run 6,,Foundation Run 6,,Foundation Run 6,
Half Marathon,3,9,REST,Cruise Interval Run 1,Foundation Run 6,Foundation Run 5,Short Interval Run 4,Recovery Run 5,Long Run with Speed Play 1
Half Marathon,3,9,,Foundation Run 5,,Foundation Run 5,,Foundation Run 5,
Half Marathon,3,10,Foundation Run 6,Tempo Run 8,Foundation Run 9,Foundation Run 6,Long Interval Run 7,Recovery Run 6,Long Run with Speed Play 3
Half Marathon,3,10,,Recovery Run 6,,Recovery Run 6,,Recovery Run 6,
Half Marathon,3,11,Recovery Run 6,Cruise Interval Run 3,Foundation Run 9,Foundation Run 6,Long Interval Run 8,Recovery Run 6,Long Run with Speed Play 3
Half Marathon,3,11,,Recovery Run 6,,Recovery Run 6,,Recovery Run 6,
Half Marathon,3,12,REST,Cruise Interval Run 2,Foundation Run 6,Foundation Run 5,Long Interval Run 3,Recovery Run 5,Long Run with Fast Finish 1
Half Marathon,3,12,,Recovery Run 5,,Recovery Run 5,,Recovery Run 5,
Half Marathon,3,13,Recovery Run 6,Tempo Run 9,Foundation Run 9,Foundation Run 6,Mixed Interval Run 4,Recovery Run 6,Long Run with Fast Finish 4
Half Marathon,3,13,,Recovery Run 6,,Recovery Run 6,,Recovery Run 6,
Half Marathon,3,14,Recovery Run 5,Tempo Run 6,Foundation Run 5,Foundation Run 5,Mixed Interval Run 2,Recovery Run 4,Long Run with Speed Play 1
Half Marathon,3,14,,Recovery Run 5,,Recovery Run 4,,Recovery Run 4,
Half Marathon,3,15,REST,Fast Finish Run 6,Foundation Run 5,Foundation Run 4,Speed Play Run 5,Recovery Run 2,Half Marathon
Marathon,1,1,REST,Fast Finish Run 2,Foundation Run 3,Foundation Run 3,Speed Play Run 1,Foundation Run 3,Long Run 1
Marathon,1,2,REST,Fast Finish Run 3,Foundation Run 4,Foundation Run 3,Speed Play Run 2,Foundation Run 3,Long Run 2
Marathon,1,3,REST,Fast Finish Run 2,Foundation Run 3,Foundation Run 3,Speed Play Run 1,Foundation Run 3,Long Run 1
Marathon,1,4,REST,Fast Finish Run 4,Foundation Run 4,Foundation Run 3,Hill Repetition Run 1,Recovery Run 4,Long Run 3
Marathon,1,5,REST,Fast Finish Run 6,Foundation Run 4,Foundation Run 4,Hill Repetition Run 2,Recovery Run 4,Long Run 4
